datetime,ip,position,temperature-probe,temperature-usb,color
2025-05-21-11-04,10.9.1.66,157-001-003,3.31C,5.25C,cyan
2025-05-21-11-04,10.9.1.67,157-001-004,3.81C,6.68C,cyan
2025-05-21-11-04,10.9.1.68,157-002-001,3.37C,5.87C,cyan
2025-05-21-11-04,10.9.1.70,157-002-003,3.50C,5.31C,cyan
2025-05-21-11-04,10.9.1.71,157-002-004,3.43C,7.43C,cyan
2025-05-21-11-05,10.9.1.64,157-001-001,3.06C,4.50C,cyan
2025-05-21-11-05,10.9.1.65,157-001-002,3.31C,5.50C,cyan
2025-05-21-11-05,10.9.1.66,157-001-003,3.25C,5.31C,cyan
2025-05-21-11-05,10.9.1.67,157-001-004,3.81C,6.68C,cyan
2025-05-21-11-05,10.9.1.68,157-002-001,3.37C,5.87C,cyan
2025-05-21-11-05,10.9.1.70,157-002-003,3.43C,5.37C,cyan
2025-05-21-11-05,10.9.1.71,157-002-004,3.31C,7.43C,cyan
2025-05-21-11-06,10.9.1.64,157-001-001,3.00C,4.50C,cyan
2025-05-21-11-06,10.9.1.65,157-001-002,3.25C,5.50C,cyan
2025-05-21-11-06,10.9.1.66,157-001-003,3.25C,5.37C,cyan
2025-05-21-11-06,10.9.1.67,157-001-004,3.81C,6.68C,cyan
2025-05-21-11-06,10.9.1.68,157-002-001,3.37C,5.87C,cyan
2025-05-21-11-06,10.9.1.70,157-002-003,3.43C,5.43C,cyan
2025-05-21-11-06,10.9.1.71,157-002-004,3.31C,7.43C,cyan
2025-05-21-11-07,10.9.1.64,157-001-001,3.31C,4.62C,cyan
2025-05-21-11-07,10.9.1.65,157-001-002,3.81C,5.50C,cyan
2025-05-21-11-07,10.9.1.66,157-001-003,3.50C,5.43C,cyan
2025-05-21-11-07,10.9.1.67,157-001-004,4.00C,6.75C,cyan
2025-05-21-11-07,10.9.1.68,157-002-001,3.62C,5.87C,cyan
2025-05-21-11-07,10.9.1.70,157-002-003,3.75C,5.50C,cyan
2025-05-21-11-07,10.9.1.71,157-002-004,3.56C,7.43C,cyan
2025-05-21-11-08,10.9.1.64,157-001-001,3.68C,4.87C,cyan
2025-05-21-11-08,10.9.1.65,157-001-002,4.18C,5.56C,cyan
2025-05-21-11-08,10.9.1.66,157-001-003,4.06C,5.50C,cyan
2025-05-21-11-08,10.9.1.67,157-001-004,4.31C,6.81C,cyan
2025-05-21-11-08,10.9.1.68,157-002-001,4.06C,6.12C,cyan
2025-05-21-11-08,10.9.1.70,157-002-003,4.37C,5.75C,cyan
